node1,node2,weight,emails
2,3,342,"2,48,325,425,803,1036,1113,1536,1703,1991,2158,2337,2669,2914,3681,3780,3814,4014,4080,4224,4225,4225,4358,4547,4636,4829,4902,5007,5022,5069,5073,5136,5155,5164,5176,5213,5224,5263,5280,5280,5282,5297,5313,5372,5383,5464,5490,5508,5509,5636,5654,5662,5681,5730,5759,5763,6091,6120,6170,6299,6336,6350,6386,6464,6490,6516,6692,6814,6815,6875,6928,6991,7058,7147,7335,7391,7513,7546,7558,7646,7669,7847,8014,8190,8377,8424,8558,8558,8625,8625,8691,8757,8913,8913,8980,9025,9113,9411,9480,9557,9646,10001,10003,10051,10191,10247,10291,10335,10441,10441,10535,10543,10543,10935,11010,11010,11094,11113,11114,11237,11325,11647,11891,11963,12091,12102,12143,12321,12330,12594,12936,12989,12991,13036,13045,13169,13245,13412,13421,13440,13445,13447,13475,13548,13570,13593,13670,13681,13703,13773,13774,13809,13810,13836,13869,13895,13909,13931,14003,14030,14042,14058,14061,14072,14082,14116,14118,14128,14149,14150,14157,14189,14198,14223,14236,14246,14252,14288,14303,14311,14325,14327,14329,14331,14345,14361,14364,14371,14405,14434,14453,14472,14479,14523,14528,14529,14535,14538,14554,14559,14580,14583,14605,14628,14638,14665,14673,14717,14735,14747,14750,14751,14756,14769,14784,14800,14802,14819,14830,14833,14840,14848,14873,14880,14880,14881,14902,14916,14932,14951,14961,14972,14983,15018,15044,15049,15080,15083,15085,15105,15108,15129,15135,15170,15177,15192,15210,15212,15220,15236,15269,15275,15285,15289,15292,15299,15313,15316,15322,15324,15325,15344,15347,15350,15350,15353,15365,15373,15386,15390,15464,15466,15471,15474,15480,15480,15489,15492,15495,15498,15508,15513,15519,15524,15534,15548,15561,15565,15581,15791,15848,16059,16137,16203,16458,16581,16891,16926,17015,17037,17159,17192,17470,17814,17958,18002,18013,18236,18248,18270,18392,18536,18603,18891,18947,18991,19014,19214,19237,19248,19336,19525,19758,19792,19825,19891,20091,20147,20236,20359,20392,20458,20592,20814,21158,21370,21547,21647,21902,22036,22302,22413,"
2,4,31,"2,4224,4547,5313,6336,8980,9480,10335,11113,14149,14198,14288,14364,14434,14479,14554,14605,14665,14735,14800,14840,14902,15316,15513,15565,15581,18248,18392,18603,18891,22036,"
3,4,31,"2,4224,4547,5313,6336,8980,9480,10335,11113,14149,14198,14288,14364,14434,14479,14554,14605,14665,14735,14800,14840,14902,15316,15513,15565,15581,18248,18392,18603,18891,22036,"
6,7,88,"7,385,661,734,817,1142,1142,1204,1485,1548,1565,1705,1736,1832,2112,2459,2607,2624,2674,2841,3002,3076,3417,3728,4127,4242,4277,4361,9493,9574,10027,10447,10673,11330,11330,11475,11807,11807,12349,13114,13893,14386,14418,14511,15231,15283,15507,15568,15618,15701,15748,15869,15934,15998,15998,16270,16524,16645,16922,17093,17195,17738,17861,17914,18048,18364,18372,18524,18601,18856,19304,19315,19331,19573,19601,19736,19778,20141,20229,20313,20839,21027,21208,21256,21428,21635,21635,21965,"
6,5,716,"7,30,69,129,146,156,177,194,230,258,284,300,307,377,385,387,428,454,475,489,493,494,510,524,567,585,593,597,605,610,620,632,645,648,661,712,783,784,785,793,811,812,816,858,865,894,898,914,915,925,925,925,925,928,945,960,968,972,988,999,1055,1076,1128,1142,1142,1178,1188,1194,1195,1212,1224,1227,1265,1320,1352,1374,1413,1426,1458,1479,1484,1485,1521,1548,1569,1584,1591,1601,1642,1680,1684,1705,1708,1733,1736,1740,1742,1744,1768,1791,1798,1839,1846,1867,1930,1942,1972,1974,1981,2009,2016,2022,2022,2077,2112,2124,2223,2242,2243,2254,2361,2377,2388,2398,2430,2454,2457,2459,2463,2471,2473,2482,2512,2539,2557,2599,2607,2622,2631,2667,2674,2691,2705,2732,2746,2750,2756,2787,2794,2806,2837,2889,2932,2944,2949,3002,3006,3017,3026,3054,3107,3112,3160,3188,3193,3236,3237,3248,3257,3259,3380,3399,3439,3442,3453,3454,3466,3477,3528,3533,3542,3566,3569,3576,3588,3596,3618,3620,3626,3661,3717,3732,3753,3765,3777,3785,3801,3813,3821,3851,3885,3887,3900,3906,3957,3964,3997,4026,4028,4107,4143,4220,4242,4265,4277,4278,4343,4351,4361,4385,4423,4457,4461,4464,4488,4515,4546,4564,4595,4600,4640,4728,4733,4752,4754,4759,4788,4790,5847,7684,7943,7954,8037,8112,8188,8213,8284,8319,8327,8331,8373,8381,8397,8408,8411,8470,8524,8761,8776,8776,8776,8776,8798,8824,8824,8824,8824,8848,8966,8997,8998,8998,8998,8998,9008,9036,9135,9221,9315,9410,9472,9493,9574,9625,9651,9722,9740,9740,9740,9740,9748,9769,9875,10027,10413,10413,10413,10413,10447,10495,10624,10672,10673,10674,10674,10674,10674,10773,10922,10955,11058,11255,11286,11330,11330,11367,11384,11475,11478,11478,11478,11478,11490,11503,11580,11585,11617,11627,11786,11807,11807,11821,12349,13114,13893,13923,13996,14386,14418,14511,14645,14648,14648,14648,14648,14949,15002,15231,15283,15496,15507,15568,15575,15602,15635,15640,15689,15701,15701,15709,15735,15748,15754,15773,15775,15835,15836,15849,15865,15869,15878,15901,15912,15934,15956,15958,15964,15977,15988,15989,15998,15998,16002,16004,16066,16076,16076,16076,16076,16102,16113,16115,16119,16134,16145,16212,16224,16260,16270,16284,16286,16305,16344,16389,16437,16443,16495,16519,16524,16530,16572,16645,16668,16705,16711,16741,16753,16764,16776,16786,16797,16798,16844,16871,16883,16885,16922,16965,17017,17028,17063,17076,17089,17090,17117,17184,17195,17207,17208,17217,17229,17235,17241,17243,17298,17332,17345,17352,17373,17385,17400,17402,17449,17465,17491,17511,17531,17542,17560,17561,17567,17584,17588,17600,17617,17638,17664,17675,17694,17759,17770,17776,17786,17790,17843,17861,17866,17914,17930,18006,18048,18080,18094,18152,18154,18169,18200,18209,18219,18229,18245,18293,18319,18334,18372,18383,18386,18391,18414,18420,18422,18438,18442,18484,18493,18524,18542,18558,18568,18583,18601,18612,18632,18642,18651,18664,18686,18686,18686,18686,18723,18742,18763,18767,18807,18813,18833,18852,18863,18900,18954,18973,18982,18989,19022,19054,19060,19084,19089,19094,19104,19110,19150,19176,19213,19277,19304,19315,19331,19346,19375,19388,19408,19419,19451,19463,19498,19560,19573,19583,19589,19601,19607,19631,19654,19655,19658,19662,19705,19713,19733,19736,19773,19778,19827,19865,19878,19887,19897,19917,19938,19942,19944,19986,19992,20030,20033,20037,20079,20089,20097,20098,20109,20115,20143,20144,20175,20244,20245,20247,20263,20275,20307,20310,20315,20320,20346,20354,20362,20365,20394,20395,20443,20460,20471,20525,20560,20582,20598,20673,20712,20740,20764,20767,20786,20803,20820,20839,20845,20853,20853,20853,20853,20861,20867,20874,20883,20888,20905,20923,20950,20986,20987,21009,21018,21027,21064,21085,21088,21092,21120,21168,21185,21208,21219,21251,21307,21314,21328,21377,21415,21464,21471,21477,21479,21495,21499,21505,21534,21584,21608,21615,21635,21635,21644,21644,21664,21687,21706,21729,21779,21807,21833,21850,21851,21858,21858,21858,21858,21863,21864,21866,21885,21943,21953,21964,21965,21966,22006,22018,22037,22040,22041,22144,22159,22167,22192,22197,22211,22226,22270,22290,22311,22347,22355,22403,"
6,8,787,"7,13,30,129,146,156,177,184,230,251,258,300,307,358,377,385,428,454,475,489,493,494,507,510,524,567,569,585,593,597,605,610,620,632,645,661,661,688,712,734,783,784,785,793,811,812,816,817,858,865,884,894,898,914,915,925,925,925,925,928,968,988,999,1009,1050,1055,1076,1128,1132,1142,1142,1142,1142,1166,1178,1188,1194,1195,1204,1224,1265,1320,1352,1426,1458,1479,1484,1485,1521,1548,1548,1565,1569,1584,1591,1593,1642,1680,1691,1705,1708,1733,1736,1736,1742,1744,1768,1768,1791,1798,1846,1846,1867,1930,1942,1942,1972,1974,1981,1983,1995,2009,2016,2022,2077,2112,2124,2175,2223,2242,2243,2254,2361,2368,2377,2383,2388,2398,2411,2457,2459,2459,2460,2463,2471,2473,2482,2512,2539,2557,2615,2622,2626,2631,2632,2674,2674,2691,2705,2746,2750,2756,2787,2807,2829,2835,2837,2927,2932,2949,3002,3002,3006,3017,3026,3054,3112,3157,3160,3188,3203,3236,3237,3248,3257,3259,3341,3380,3390,3442,3453,3454,3471,3500,3528,3533,3542,3566,3569,3576,3579,3596,3620,3661,3680,3717,3728,3732,3753,3765,3777,3785,3801,3821,3851,3885,3906,3952,3997,4028,4039,4107,4127,4143,4220,4242,4266,4277,4278,4343,4344,4361,4361,4385,4423,4442,4457,4461,4464,4471,4488,4492,4515,4521,4530,4546,4564,4595,4623,4640,4728,4733,4752,4754,4759,4788,4790,5847,6213,7684,7943,7954,8037,8112,8188,8188,8213,8284,8319,8327,8327,8331,8331,8373,8381,8397,8408,8411,8470,8524,8761,8776,8776,8776,8776,8798,8824,8824,8824,8824,8848,8966,8997,8998,8998,8998,8998,9008,9036,9135,9221,9315,9392,9410,9472,9493,9574,9625,9651,9722,9740,9740,9740,9740,9748,9769,9875,10027,10413,10413,10413,10413,10447,10495,10495,10624,10672,10673,10674,10674,10674,10674,10773,10922,10955,11058,11255,11286,11330,11330,11330,11330,11367,11384,11475,11478,11478,11478,11478,11490,11503,11580,11585,11585,11617,11617,11627,11786,11807,11807,11807,11807,11821,12349,13114,13114,13893,13893,13923,13996,14386,14386,14418,14418,14511,14511,14645,14648,14648,14648,14648,14949,15002,15050,15231,15231,15283,15283,15496,15507,15507,15568,15568,15602,15618,15635,15640,15701,15709,15735,15748,15748,15754,15773,15777,15836,15849,15864,15865,15869,15869,15878,15901,15907,15912,15928,15934,15951,15958,15964,15988,15989,15998,15998,15998,15998,16004,16041,16060,16066,16076,16076,16076,16076,16117,16119,16134,16145,16154,16164,16222,16270,16270,16276,16284,16286,16295,16305,16327,16344,16389,16398,16443,16495,16519,16524,16524,16529,16530,16561,16572,16645,16645,16652,16668,16682,16705,16722,16741,16753,16764,16768,16776,16786,16844,16861,16885,16918,16921,16922,16933,17063,17072,17076,17089,17090,17093,17117,17177,17195,17207,17208,17229,17235,17243,17298,17312,17332,17345,17352,17373,17385,17400,17402,17449,17465,17483,17491,17531,17542,17560,17561,17588,17617,17634,17638,17664,17675,17694,17776,17786,17790,17810,17843,17861,17905,17914,17914,17930,18006,18048,18080,18086,18094,18122,18152,18158,18169,18178,18209,18219,18229,18245,18250,18319,18323,18334,18364,18372,18372,18383,18386,18391,18414,18420,18442,18484,18493,18524,18534,18542,18558,18568,18583,18601,18632,18635,18642,18659,18686,18686,18686,18686,18723,18742,18767,18772,18788,18790,18807,18813,18833,18856,18870,18900,18954,18982,18989,19022,19023,19054,19089,19104,19110,19163,19176,19213,19260,19277,19304,19315,19315,19331,19331,19346,19356,19388,19394,19408,19419,19451,19462,19463,19474,19498,19523,19540,19560,19573,19573,19601,19607,19646,19654,19658,19705,19713,19736,19773,19778,19827,19845,19865,19874,19878,19886,19887,19897,19917,19921,19938,19942,19986,19992,20030,20033,20037,20038,20072,20079,20089,20097,20098,20109,20115,20139,20141,20143,20144,20160,20175,20218,20245,20247,20263,20295,20315,20320,20346,20354,20362,20394,20395,20402,20411,20456,20460,20497,20525,20531,20560,20582,20586,20598,20607,20637,20648,20655,20678,20712,20716,20740,20753,20786,20803,20813,20820,20839,20839,20845,20853,20853,20853,20853,20861,20867,20874,20888,20899,20905,20923,20950,20986,20987,21009,21027,21085,21088,21092,21120,21168,21185,21200,21208,21208,21226,21244,21251,21256,21307,21314,21316,21352,21377,21464,21471,21479,21495,21499,21505,21534,21571,21608,21615,21635,21635,21635,21635,21644,21664,21706,21779,21807,21833,21851,21858,21858,21858,21858,21863,21866,21885,21899,21953,21963,22006,22018,22028,22037,22040,22041,22144,22159,22167,22185,22192,22197,22211,22225,22226,22270,22271,22311,22347,22355,22417,22444,"
6,9,201,"7,13,251,258,277,387,437,474,507,569,597,610,661,688,784,793,812,816,945,988,999,1166,1194,1548,1593,1618,1684,1705,1733,1736,2009,2242,2388,2411,2430,2459,2460,2463,2599,2631,2674,2693,2756,2829,2835,2944,2997,3002,3140,3157,3160,3203,3257,3330,3439,3442,3453,3477,3542,3717,3777,3789,3793,3906,4242,4343,4361,4385,4752,4788,5458,13114,13893,14386,14418,14511,15231,15283,15507,15568,15735,15748,15851,15869,15907,15928,15956,16041,16060,16224,16260,16270,16295,16327,16389,16524,16645,16682,16722,16726,16768,16817,16877,16885,16921,16933,16998,17090,17117,17217,17235,17241,17243,17312,17588,17694,17790,17810,17861,17905,17914,18122,18245,18323,18372,18386,18420,18422,18493,18524,18601,18651,18664,18763,18772,18790,18813,18870,18900,18979,19054,19084,19094,19110,19213,19304,19315,19330,19331,19346,19356,19419,19462,19573,19646,19662,19713,19778,19865,19874,19938,20139,20144,20263,20346,20411,20531,20600,20607,20637,20648,20673,20764,20767,20839,20841,20986,20987,21027,21076,21092,21208,21226,21228,21244,21256,21276,21438,21552,21571,21729,21864,21866,21963,22185,22197,22290,22303,22373,22417,22444,"
7,5,93,"7,208,385,461,661,711,1142,1485,1548,1705,1736,1842,2112,2127,2183,2459,2607,2674,2930,3002,3396,3800,4068,4142,4242,4277,4330,4361,9493,9574,10027,10447,10673,11330,11475,11807,12349,13114,13893,14386,14418,14511,15231,15283,15507,15568,15701,15701,15748,15869,15934,15967,15998,16107,16270,16524,16645,16922,17195,17737,17861,17914,17933,17943,17986,18048,18372,18524,18601,18618,18709,18839,19294,19304,19315,19331,19555,19573,19601,19736,19778,20130,20331,20501,20839,21027,21208,21299,21635,21965,22027,22044,22356,"
7,8,125,"7,385,661,661,734,817,1142,1142,1204,1485,1548,1548,1565,1705,1736,1736,1842,2112,2127,2183,2459,2459,2674,2674,3002,3002,3012,3396,3728,3760,3800,4127,4142,4242,4277,4330,4361,4361,9493,9574,10027,10447,10673,11330,11330,11475,11807,11807,12349,13114,13114,13893,13893,14386,14386,14418,14418,14511,14511,15231,15231,15283,15283,15507,15507,15568,15568,15618,15701,15748,15748,15869,15869,15934,15967,15998,15998,16270,16270,16524,16524,16645,16645,16922,17093,17195,17861,17914,17914,17933,17943,18048,18364,18372,18372,18524,18601,18856,19294,19304,19315,19315,19331,19331,19555,19573,19573,19601,19736,19778,20130,20141,20331,20501,20839,20839,21027,21208,21208,21256,21635,21635,21926,22027,22356,"
7,9,45,"7,661,1548,1705,1736,2459,2674,2930,3002,3760,4142,4242,4361,13114,13893,14386,14418,14511,15231,15283,15507,15568,15748,15869,15967,16270,16524,16645,17861,17914,18372,18524,18601,18630,19304,19315,19331,19573,19778,20331,20839,21027,21208,21256,22356,"
