ID,Title,Authors,Org
1,A Translational Science Model for HCI, Lucas Colusso,University of Washington
1,A Translational Science Model for HCI, Ridley Jones,University of Washington
1,A Translational Science Model for HCI, Sean A. Munson,University of Washington
1,A Translational Science Model for HCI, Gary Hsieh (University of Washington),University of Washington
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nithya Sambasivan (Google),Google
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Amna Batool (Information Technology University),Information Technology University
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nova Ahmed (North South University),North South University
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Tara Matthews (Independent Researcher),Independent Researcher
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Kurt Thomas (Google),Google
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Laura Sanely Gaytan-Lugo (Universidad de Colima),Universidad de Colima
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, David Nemer (University of Kentucky),University of Kentucky
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Elie Bursztein,Google
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Elizabeth Churchill,Google
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Sunny Consolvo (Google),Google
3,Guidelines for Human-AI Interaction, Saleema Amershi (Microsoft),Microsoft
3,Guidelines for Human-AI Interaction, Dan Weld (University of Washington & Microsoft Research),University of Washington & Microsoft Research
3,Guidelines for Human-AI Interaction, Mihaela Vorvoreanu,Microsoft
3,Guidelines for Human-AI Interaction, Adam Fourney,Microsoft
3,Guidelines for Human-AI Interaction, Besmira Nushi,Microsoft
3,Guidelines for Human-AI Interaction, Penny Collisson,Microsoft
3,Guidelines for Human-AI Interaction, Jina Suh,Microsoft
3,Guidelines for Human-AI Interaction, Shamsi Iqbal,Microsoft
3,Guidelines for Human-AI Interaction, Paul N. Bennett,Microsoft
3,Guidelines for Human-AI Interaction, Kori Inkpen,Microsoft
3,Guidelines for Human-AI Interaction, Jaime Teevan,Microsoft
3,Guidelines for Human-AI Interaction, Ruth Kikin-Gil,Microsoft
3,Guidelines for Human-AI Interaction, Eric Horvitz (Microsoft),Microsoft
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Carrie J. Cai,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Emily Reif,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Narayan Hegde,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Jason Hipp,Google Brain
