"","ID","Title","Author","new$Organization"
"1",1,"A Translational Science Model for HCI"," Lucas Colusso",NA
"2",1,"A Translational Science Model for HCI"," Ridley Jones",NA
"3",1,"A Translational Science Model for HCI"," Sean A. Munson",NA
"4",1,"A Translational Science Model for HCI"," Gary Hsieh","University of Washington"
"5",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Nithya Sambasivan","Google"
"6",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Amna Batool","Information Technology University"
"7",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Nova Ahmed","North South University"
"8",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Tara Matthews","Independent Researcher"
"9",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Kurt Thomas","Google"
"10",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Laura Sanely Gaytan-Lugo","Universidad de Colima"
"11",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," David Nemer","University of Kentucky"
"12",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Elie Bursztein",NA
"13",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Elizabeth Churchill",NA
"14",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Sunny Consolvo","Google"
"15",3,"Guidelines for Human-AI Interaction"," Saleema Amershi","Microsoft"
"16",3,"Guidelines for Human-AI Interaction"," Dan Weld","University of Washington & Microsoft Research"
"17",3,"Guidelines for Human-AI Interaction"," Mihaela Vorvoreanu",NA
"18",3,"Guidelines for Human-AI Interaction"," Adam Fourney",NA
"19",3,"Guidelines for Human-AI Interaction"," Besmira Nushi",NA
"20",3,"Guidelines for Human-AI Interaction"," Penny Collisson",NA
"21",3,"Guidelines for Human-AI Interaction"," Jina Suh",NA
"22",3,"Guidelines for Human-AI Interaction"," Shamsi Iqbal",NA
"23",3,"Guidelines for Human-AI Interaction"," Paul N. Bennett",NA
"24",3,"Guidelines for Human-AI Interaction"," Kori Inkpen",NA
"25",3,"Guidelines for Human-AI Interaction"," Jaime Teevan",NA
"26",3,"Guidelines for Human-AI Interaction"," Ruth Kikin-Gil",NA
"27",3,"Guidelines for Human-AI Interaction"," Eric Horvitz","Microsoft"
"28",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Carrie J. Cai",NA
"29",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Emily Reif",NA
"30",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Narayan Hegde",NA
"31",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Jason Hipp",NA
"32",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Been Kim",NA
"33",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Daniel Smilkov",NA
"34",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Martin Wattenberg",NA
"35",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Fernanda Viegas",NA
"36",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Greg S. Corrado",NA
"37",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Martin C. Stumpe",NA
"38",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Michael Terry","Google Brain"
"39",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Jocelyn Spence",NA
"40",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Benjamin Bedwell",NA
"41",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Michelle Coleman",NA
"42",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Steve Benford",NA
