ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
1,A Translational Science Model for HCI, Lucas Colusso, Ridley Jones, Sean A. Munson, Gary Hsieh (University of Washington),,,,,,,,,,
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nithya Sambasivan (Google), Amna Batool (Information Technology University), Nova Ahmed (North South University), Tara Matthews (Independent Researcher), Kurt Thomas (Google), Laura Sanely Gaytan-Lugo (Universidad de Colima), David Nemer (University of Kentucky), Elie Bursztein, Elizabeth Churchill, Sunny Consolvo (Google),,,,
3,Guidelines for Human-AI Interaction, Saleema Amershi (Microsoft), Dan Weld (University of Washington & Microsoft Research), Mihaela Vorvoreanu, Adam Fourney, Besmira Nushi, Penny Collisson, Jina Suh, Shamsi Iqbal, Paul N. Bennett, Kori Inkpen, Jaime Teevan, Ruth Kikin-Gil, Eric Horvitz (Microsoft),
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Carrie J. Cai, Emily Reif, Narayan Hegde, Jason Hipp, Been Kim, Daniel Smilkov, Martin Wattenberg, Fernanda Viegas, Greg S. Corrado, Martin C. Stumpe, Michael Terry (Google Brain),,,
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Jocelyn Spence, Benjamin Bedwell, Michelle Coleman, Steve Benford, Boriana N. Koleva, (University of Nottingham), Matt Adams, Ju Row Farr, Nick Tandavanitj (Blast Theory), Anders Sundnes Lovlie (IT University of Copenhagen),,,,
6,Design and Plural Heritages: Composing Critical Futures, Tom Schofield, Daniel Foster Smith, Gonul Bozoglu, Christopher Whitehead (Newcastle University),,,,,,,,,,
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Aditi Mallavarapu (University of Illinois at Chicago), Leilah Lyons (University of Illinois at Chicago & New York Hall of Science), Stephen Uzzo (New York Hall of Science), Wren Thompson (New York Hall of Science), Rinat Levy-Cohen (Fordham University), Brian Slattery (University of Illinois at Chicago),,,,,,,,
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Alexis Hiniker, Jon E. Froehlich, Mingrui Zhang, Erin Beneteau (University of Washington),,,,,,,,,,
9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, John Harris, Mark Hancock (University of Waterloo),,,,,,,,,,,,
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Leandro Florez-Aristizabal (Inst. Universitaria Antonio Jose Camacho), Sandra Cano (Universidad de San Buenaventura), Cesar A. Collazos (Universidad del Cauca), Andres F. Solano (Universidad Autonoma de Occidente), Stephen Brewster (University of Glasgow),,,,,,,,,
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Jotaro Shigeyama, Takeru Hashimoto, Shigeo Yoshida, Takuji Narumi, Tomohiro Tanikawa, Michitaka Hirose, (The University of Tokyo),,,,,,,
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Xujing Zhang, Sean Braley, Calvin Rubens (Queen's University), Timothy Merritt (Aalborg University), Roel Vertegaal (Queen's University),,,,,,,,,
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Hemant Bhaskar Surale, Aakar Gupta, Mark Hancock, Daniel Vogel (University of Waterloo),,,,,,,,,,
14,RotoSwype: Word-Gesture Typing using a Ring, Aakar Gupta, Cheng Ji (University of Waterloo), Hui-Shyong Yeo, Aaron Quigley (University of St Andrews), Daniel Vogel (University of Waterloo),,,,,,,,,
15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Yasha Iravantchi, Mayank Goel, Chris Harrison (Carnegie Mellon University),,,,,,,,,,,
