"","ID","Title","Authors"
"1",1,"A Translational Science Model for HCI"," Lucas Colusso"
"703",1,"A Translational Science Model for HCI"," Ridley Jones"
"1405",1,"A Translational Science Model for HCI"," Sean A. Munson"
"2107",1,"A Translational Science Model for HCI"," Gary Hsieh (University of Washington)"
"2",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Nithya Sambasivan (Google)"
"704",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Amna Batool (Information Technology University)"
"1406",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Nova Ahmed (North South University)"
"2108",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Tara Matthews (Independent Researcher)"
"2810",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Kurt Thomas (Google)"
"3512",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Laura Sanely Gaytan-Lugo (Universidad de Colima)"
"4214",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," David Nemer (University of Kentucky)"
"4916",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Elie Bursztein"
"5618",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Elizabeth Churchill"
"6320",2,"They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia"," Sunny Consolvo (Google)"
"3",3,"Guidelines for Human-AI Interaction"," Saleema Amershi (Microsoft)"
"705",3,"Guidelines for Human-AI Interaction"," Dan Weld (University of Washington & Microsoft Research)"
"1407",3,"Guidelines for Human-AI Interaction"," Mihaela Vorvoreanu"
"2109",3,"Guidelines for Human-AI Interaction"," Adam Fourney"
"2811",3,"Guidelines for Human-AI Interaction"," Besmira Nushi"
"3513",3,"Guidelines for Human-AI Interaction"," Penny Collisson"
"4215",3,"Guidelines for Human-AI Interaction"," Jina Suh"
"4917",3,"Guidelines for Human-AI Interaction"," Shamsi Iqbal"
"5619",3,"Guidelines for Human-AI Interaction"," Paul N. Bennett"
"6321",3,"Guidelines for Human-AI Interaction"," Kori Inkpen"
"7023",3,"Guidelines for Human-AI Interaction"," Jaime Teevan"
"7725",3,"Guidelines for Human-AI Interaction"," Ruth Kikin-Gil"
"8427",3,"Guidelines for Human-AI Interaction"," Eric Horvitz (Microsoft)"
"4",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Carrie J. Cai"
"706",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Emily Reif"
"1408",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Narayan Hegde"
"2110",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Jason Hipp"
"2812",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Been Kim"
"3514",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Daniel Smilkov"
"4216",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Martin Wattenberg"
"4918",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Fernanda Viegas"
"5620",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Greg S. Corrado"
"6322",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Martin C. Stumpe"
"7024",4,"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making"," Michael Terry (Google Brain)"
"5",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Jocelyn Spence"
"707",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Benjamin Bedwell"
"1409",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Michelle Coleman"
"2111",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Steve Benford"
"2813",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Boriana N. Koleva"
"3515",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," (University of Nottingham)"
"4217",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Matt Adams"
"4919",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Ju Row Farr"
"5621",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Nick Tandavanitj (Blast Theory)"
"6323",5,"Seeing with New Eyes: Designing for In-the-Wild Museum Gifting"," Anders Sundnes Lovlie (IT University of Copenhagen)"
"6",6,"Design and Plural Heritages: Composing Critical Futures"," Tom Schofield"
"708",6,"Design and Plural Heritages: Composing Critical Futures"," Daniel Foster Smith"
"1410",6,"Design and Plural Heritages: Composing Critical Futures"," Gonul Bozoglu"
"2112",6,"Design and Plural Heritages: Composing Critical Futures"," Christopher Whitehead (Newcastle University)"
"7",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Aditi Mallavarapu (University of Illinois at Chicago)"
"709",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Leilah Lyons (University of Illinois at Chicago & New York Hall of Science)"
"1411",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Stephen Uzzo (New York Hall of Science)"
"2113",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Wren Thompson (New York Hall of Science)"
"2815",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Rinat Levy-Cohen (Fordham University)"
