ID,Title,Org,"Using scientific discoveries to inform design practice is an important, but difficult, objective in HCI. In this paper, we provide an overview of Translational Science in HCI by triangulating literature related to the research-practice gap with interview data from many parties engaged (or not) in translating HCI knowledge. We propose a model for Translational Science in HCI based on the concept of a continuum to describe how knowledge progresses (or stalls) through multiple steps and translations until it can influence design practice. The model offers a conceptual framework that can be used by researchers and practitioners to visualize and describe the progression of HCI knowledge through a sequence of translations. Additionally, the model may facilitate a precise identification of translational barriers, which allows devising more effective strategies to increase the use of scientific findings in design practice."
88,ExerCube vs. Personal Trainer: Evaluating a Holistic Immersive and Adaptive Fitness Game Setup,Zurich University of the Arts,
125,Shape Changing Surfaces and Structures: Design Tools and Methods for Electroactive Polymers,Zurich University of the Arts,
134,Methodological Gaps in Predicting Mental Health States from Social Media: Triangulating Diagnostic Signals,Zucker Hillside Hospital,
424,A-line: 4D Printing Morphing Linear Composite Structures,Zhejiang University & Carnegie Mellon University,
195,Designing Interactive 3D Printed Models with Teachers of the Visually Impaired,Zhejiang University,
679,ATMSeer: Increasing Transparency and Controllability in Automated Machine Learning,Zhejiang University,
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path,Zhejiang Univeristy & Carnegie Mellon University,
59,An Evaluation of Radar Metaphors for Providing Directional Stimuli Using Non-Verbal Sound,York University,
663,Tricky to get your head around: Information Work of People Managing Chronic Kidney Disease in the UK,York Teaching Hospital NHS Foundation Trust,
17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience,Yale-NUS College & Korea Advanced Institute of Science and Technology,
120,Modeling Fully and Partially Constrained Lasso Movements in a Grid of Icons,Yahoo Japan Corporation,
568,Steering Performance with Error-accepting Delays,Yahoo Japan Corporation,
259,Understanding Mass-Market Mobile TV Behaviors in the Streaming Era,Yahoo & Oath,
588,Understanding Online News Behaviors,Yahoo,
442,DMove: Directional Motion-based Interaction for Augmented Reality Head-Mounted Displays,Xi'an Jiaotong-Liverpool University,
573,MessageOnTap: A Suggestive Interface to Facilitate Messaging-related Tasks,Wuhan University,
510,Evaluating Preference Collection Methods for Interactive Ranking Analytics,Worcester Polytechnic Institute,
622,Friend Collaborator Student Manager: How Design of an AI-Driven Game Level Editor Affects Creators,Worcester Polytechnic Institute,
138,How Guiding Questions Facilitate Feedback Exchange in Project-Based Learning,William & Mary,
255,Predicting Cognitive Load in Future Code Puzzles,Washington University in St. Louis,
