,ID,Title,Author,Org
1,1,A Translational Science Model for HCI, Lucas Colusso,University of Washington
2,1,A Translational Science Model for HCI, Ridley Jones,University of Washington
3,1,A Translational Science Model for HCI, Sean A. Munson,University of Washington
4,1,A Translational Science Model for HCI, Gary Hsieh,University of Washington
5,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nithya Sambasivan,Google
6,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Amna Batool,Information Technology University
7,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nova Ahmed,North South University
8,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Tara Matthews,Independent Researcher
9,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Kurt Thomas,Google
10,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Laura Sanely Gaytan-Lugo,Universidad de Colima
11,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, David Nemer,University of Kentucky
12,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Elie Bursztein,Google
13,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Elizabeth Churchill,Google
14,2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Sunny Consolvo,Google
15,3,Guidelines for Human-AI Interaction, Saleema Amershi,Microsoft
16,3,Guidelines for Human-AI Interaction, Dan Weld,University of Washington
17,3,Guidelines for Human-AI Interaction, Mihaela Vorvoreanu,Microsoft
18,3,Guidelines for Human-AI Interaction, Adam Fourney,Microsoft
19,3,Guidelines for Human-AI Interaction, Besmira Nushi,Microsoft
20,3,Guidelines for Human-AI Interaction, Penny Collisson,Microsoft
21,3,Guidelines for Human-AI Interaction, Jina Suh,Microsoft
22,3,Guidelines for Human-AI Interaction, Shamsi Iqbal,Microsoft
23,3,Guidelines for Human-AI Interaction, Paul N. Bennett,Microsoft
24,3,Guidelines for Human-AI Interaction, Kori Inkpen,Microsoft
25,3,Guidelines for Human-AI Interaction, Jaime Teevan,Microsoft
26,3,Guidelines for Human-AI Interaction, Ruth Kikin-Gil,Microsoft
27,3,Guidelines for Human-AI Interaction, Eric Horvitz,Microsoft
28,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Carrie J. Cai,Google Brain
29,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Emily Reif,Google Brain
30,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Narayan Hegde,Google Brain
31,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Jason Hipp,Google Brain
32,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Been Kim,Google Brain
33,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Daniel Smilkov,Google Brain
34,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Martin Wattenberg,Google Brain
35,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Fernanda Viegas,Google Brain
36,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Greg S. Corrado,Google Brain
37,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Martin C. Stumpe,Google Brain
38,4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Michael Terry,Google Brain
39,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Jocelyn Spence,University of Nottingham
40,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Benjamin Bedwell,University of Nottingham
41,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Michelle Coleman,University of Nottingham
