ID,Author
5,J.Spence
5,B.Bedwell
5,M.Coleman
5,Benford
5,BN.Koleva
5,M.Adams
5,JR.Farr
5,N.Tandavanitj
5,AS.Lovlie
30,A.Hazzard
30,C.Greenhalgh
30,M.Kallionpaa
30,Benford
30,A.Veinberg
30,Z.Kanga
30,A.McPherson
148,R.Ramchurn
148,S.Martindale
148,ML.Wilson
148,Benford
398,R.Jacobs
398,H.Schnadelbach
398,N.Jager
398,Silvia
398,Leal
398,R.Shackford
398,Benford
398,R.Patel
474,JPM.Avila
474,A.Hazzard
474,Benford
474,A.Chamberlain
569,D.Darzentas
569,R.Velt
569,R.Wetzel
569,PJ.Craigon
569,HG.Wagner
569,LD.Urquhart
569,Benford
579,P.Tennent
579,J.Marshall
579,P.Brundell
579,B.Walker
579,Benford
698,J.Marshall
698,Benford
698,R.Byrne
698,P.Tennent
