 Jaeyeon Lee, Christian Holz,1,,,,,,,,
 Ken Hinckley, Christian Holz,1,,,,,,,,
 Yang Zhang, Christian Holz,1,,,,,,,,
 Michel Pahud, Christian Holz,1,,,,,,,,
 Haijun Xia, Christian Holz,1,,,,,,,,
 Gierad Laput, Christian Holz,1,,,,,,,,
 Michael McGuffin, Christian Holz,1,,,,,,,,
 Xiao Tu, Christian Holz,1,,,,,,,,
 Andrew Mittereder, Christian Holz,1,,,,,,,,
 Fei Su, Christian Holz,1,,,,,,,,
 William Buxton, Christian Holz,1,,,,,,,,
 Mike Sinclair, Christian Holz,1,,,,,,,,
 Mar Gonzalez-Franco, Christian Holz,1,,,, Eyal Ofek, Andrew D. Wilson, Jaeyeon Lee, Ken Hinckley, Yang Zhang
 Eyal Ofek, Christian Holz,3,,,,3,2,1,1,1
 Yuhang Zhao, Christian Holz,1,,,,,,,,
 Edward Cutrell, Christian Holz,1,,,,,,,,
 Meredith Ringel Morris, Christian Holz,1,,,,,,,,
 Andrew D. Wilson, Christian Holz,2,,,,,,,,
 Jeremy Hartmann, Christian Holz,1,,,,,,,,
 Frederik Brudy, Christian Holz,1,,,,,,,,
 Roman Radle, Christian Holz,1,,,,,,,,
 Chi-Jui Wu, Christian Holz,1,,,,,,,,
 Steven Houben, Christian Holz,1,,,,,,,,
 Clemens Nylandsted Klokmose, Christian Holz,1,,,,,,,,
 Nicolai Marquardt, Christian Holz,1,,,,,,,,
