SUBJECT,TOPICS,TOP_30_EMAIL_IDS
FULL NETWORK,WOULD TAKE TOO LONG,,
COMM_0,"Topic 0 : ['""trump"" ', '""republican"" ', '""would"" ', '""president"" ', '""state"" ', '""donald"" ', '""democrat"" ', '""american"" ', '""voter"" ', '""party""'].
Topic 1 : ['""clinton"" ', '""trump"" ', '""state"" ', '""campaign"" ', '""party"" ', '""democratic"" ', '""cruz"" ', '""hillary"" ', '""donald"" ', '""sander""'].
Topic 2 : ['""trump"" ', '""said"" ', '""would"" ', '""people"" ', '""donald"" ', '""going"" ', '""think"" ', '""like"" ', '""know"" ', '""want""'].","Top Emails : [3, 14, 49, 56, 103, 126, 127, 149, 159, 167, 204, 243, 265, 280, 282, 286, 311, 327, 347, 361, 385, 406, 409, 411, 416, 418, 428, 443, 447, 453]."
COMM_2,"Topic 0 : ['""drive"" ', '""call"" ', '""liana"" ', '""office"" ', '""chair"" ', '""meeting"" ', '""committee"" ', '""democratic"" ', '""national"" ', '""time""'].
Topic 1 : ['""drive"" ', '""time"" ', '""call"" ', '""minute"" ', '""courtney"" ', '""meeting"" ', '""liana"" ', '""angeles"" ', '""democratic"" ', '""comms""'].
Topic 2 : ['""party"" ', '""democratic"" ', '""schultz"" ', '""state"" ', '""trump"" ', '""wasserman"" ', '""chair"" ', '""convention"" ', '""said"" ', '""committee""'].","Top Emails : [244, 298, 365, 603, 636, 649, 748, 755, 826, 851, 889, 946, 990, 1077, 1082, 1083, 1121, 1245, 1291, 1468, 1506, 1526, 1561, 1739, 1767, 1794, 1813, 1937, 1940, 1956]."
COMM_5,"Topic 0 : ['""republican"" ', '""trump"" ', '""campaign"" ', '""court"" ', '""said"" ', '""state"" ', '""president"" ', '""year"" ', '""would"" ', '""senate""'].
Topic 1 : ['""user"" ', '""deleted"" ', '""washington"" ', '""said"" ', '""york"" ', '""please"" ', '""trump"" ', '""state"" ', '""campaign"" ', '""attachment""'].
Topic 2 : ['""email"" ', '""would"" ', '""know"" ', '""best"" ', '""please"" ', '""time"" ', '""service"" ', '""work"" ', '""event"" ', '""office""'].","Top Emails : [2, 8, 9, 12, 13, 15, 17, 18, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 44, 45, 48, 50, 52, 54]."
COMM_0_0,"Topic 0 : ['""clinton"" ', '""trump"" ', '""said"" ', '""hillary"" ', '""state"" ', '""campaign"" ', '""party"" ', '""woman"" ', '""sander"" ', '""read""'].
Topic 1 : ['""clinton"" ', '""said"" ', '""people"" ', '""hillary"" ', '""know"" ', '""going"" ', '""coal"" ', '""trump"" ', '""would"" ', '""tweet""'].
Topic 2 : ['""clinton"" ', '""hillary"" ', '""said"" ', '""state"" ', '""sander"" ', '""would"" ', '""campaign"" ', '""trump"" ', '""read"" ', '""democratic""'].","Top Emails : [4091, 4139, 5232, 5729, 6355, 6360, 6451, 6734, 7283, 7834, 9451, 9852, 12237, 13083, 13477, 22476, 22479, 22480, 22488, 22492, 22501, 22503, 22509, 22511, 22545, 22558, 22562, 22565, 22570, 22577]."
COMM_0_1,"Topic 0 : ['""trump"" ', '""would"" ', '""donald"" ', '""said"" ', '""republican"" ', '""american"" ', '""president"" ', '""state"" ', '""christie"" ', '""people""'].
Topic 1 : ['""republican"" ', '""state"" ', '""trump"" ', '""party"" ', '""would"" ', '""said"" ', '""people"" ', '""right"" ', '""house"" ', '""democratic""'].
Topic 2 : ['""trump"" ', '""republican"" ', '""donald"" ', '""party"" ', '""democrat"" ', '""would"" ', '""image"" ', '""woman"" ', '""court"" ', '""voter""'].","Top Emails : [3, 49, 56, 103, 126, 149, 159, 167, 243, 265, 280, 282, 286, 311, 347, 406, 409, 411, 428, 443, 453, 460, 504, 518, 524, 546, 566, 591, 592, 628]."
COMM_0_2,"Topic 0 : ['""trump"" ', '""said"" ', '""party"" ', '""attorney"" ', '""john"" ', '""would"" ', '""motion"" ', '""sonny"" ', '""brown"" ', '""everett""'].
Topic 1 : ['""trump"" ', '""party"" ', '""attorney"" ', '""sonny"" ', '""added"" ', '""estate"" ', '""would"" ', '""case"" ', '""said"" ', '""john""'].
Topic 2 : ['""trump"" ', '""party"" ', '""sonny"" ', '""added"" ', '""motion"" ', '""attorney"" ', '""entered"" ', '""john"" ', '""court"" ', '""brown""'].","Top Emails : [3801, 4177, 5305, 5799, 6548, 8000, 8327, 8770, 10857, 13328, 14035, 22519, 22673, 22803, 22902, 22974, 23148, 23227, 23308, 23351, 23387, 23554, 23712, 24085, 24254, 24379, 24623, 24796, 25284, 25507]."
COMM_0_3,"Topic 0 : ['""trump"" ', '""said"" ', '""would"" ', '""people"" ', '""going"" ', '""think"" ', '""know"" ', '""want"" ', '""like"" ', '""woman""'].
Topic 1 : ['""trump"" ', '""watch"" ', '""donald"" ', '""cruz"" ', '""state"" ', '""said"" ', '""would"" ', '""republican"" ', '""people"" ', '""report""'].
Topic 2 : ['""trump"" ', '""said"" ', '""campaign"" ', '""cruz"" ', '""people"" ', '""republican"" ', '""would"" ', '""donald"" ', '""delegate"" ', '""party""'].","Top Emails : [3800, 3805, 3809, 3815, 3817, 3826, 3837, 3845, 3868, 3873, 3875, 3881, 3883, 3887, 3888, 3900, 3915, 3935, 3941, 3944, 3948, 3951, 3958, 3959, 3967, 3970, 3980, 3999, 4008, 4012]."
COMM_2_0,"Topic 0 : ['""national"" ', '""deputy"" ', '""director"" ', '""garret"" ', '""bonosky"" ', '""office"" ', '""committee"" ', '""democratic"" ', '""chair"" ', '""akst""'].
Topic 1 : ['""democratic"" ', '""committee"" ', '""director"" ', '""chair"" ', '""garret"" ', '""national"" ', '""bonosky"" ', '""office"" ', '""deputy"" ', '""akst""'].
Topic 2 : ['""chair"" ', '""committee"" ', '""democratic"" ', '""office"" ', '""garret"" ', '""bonosky"" ', '""deputy"" ', '""national"" ', '""director"" ', '""brunch""'].","Top Emails : [4056, 4601, 4850, 5044, 5633, 6864, 7266, 8126, 8482, 8883, 10168, 10614, 10831, 11002, 11699, 11937, 12524, 12529, 12744, 13414, 13575, 13652, 13707, 14000, 14298, 18570, 19995, 40395, 40399, 40406]."
COMM_2_1,"Topic 0 : ['""page"" ', '""call"" ', '""chair"" ', '""line"" ', '""drawing"" ', '""schultz"" ', '""drive"" ', '""time"" ', '""wasserman"" ', '""national""'].
Topic 1 : ['""trump"" ', '""chair"" ', '""time"" ', '""call"" ', '""jewish"" ', '""schultz"" ', '""drive"" ', '""office"" ', '""american"" ', '""reporter""'].
Topic 2 : ['""call"" ', '""trump"" ', '""chair"" ', '""democratic"" ', '""time"" ', '""liana"" ', '""image"" ', '""wasserman"" ', '""office"" ', '""national""'].","Top Emails : [1561, 2690, 3444, 3818, 3904, 3971, 4070, 4199, 4260, 4269, 4271, 4443, 4776, 4876, 4893, 4898, 4987, 5172, 5256, 5260, 5367, 5619, 5676, 5743, 5942, 5988, 6123, 6164, 6182, 6222]."
